Socket,Algorithm,Start Time,End Time,Execution Time,Power,Current,Voltage,Memory,CPU Usage,Read Bytes,Write Bytes,Signature,Num Files,Size,Avg File Size,CPU Count,Total RAM,Available RAM,System CPU,System Memory,Time Per File,Throughput
rpi3,cross-rsdp-128-fast,2026-01-15 17:37:03.121261,2026-01-15 17:38:29.064142,85.94285562799996,3.8999666666666664,0.04933333333333335,116.779,320.0563220977783,99.99667729448925,325058953,0,92160,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.7,17.182764662200043,3.608266842901733
rpi3,cross-rsdp-128-small,2026-01-15 17:38:30.100612,2026-01-15 17:39:56.672744,86.57210973500014,3.9490344827586203,0.04989655172413794,116.68020689655172,320.0406856536865,99.99756303155064,325058953,0,62160,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.7,17.308730503399964,3.5820073567972703
rpi3,cross-rsdp-192-balanced,2026-01-15 17:39:57.708721,2026-01-15 17:41:47.869305,110.1605603879998,3.915605263157895,0.0493421052631579,116.76615789473685,320.09059047698975,99.99949129888417,325058953,0,149265,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.8,22.025956166200196,2.8148607729975303
rpi3,cross-rsdp-192-fast,2026-01-15 17:41:48.911217,2026-01-15 17:43:38.683296,109.77205580699956,3.909131578947368,0.04947368421052632,116.67165789473684,320.1236324310303,99.99812720370008,325058953,0,207030,5,310.0,62.0,4,923.20703125,730.96875,0.5,20.8,21.94864715499989,2.8247754662125697
rpi3,cross-rsdp-192-small,2026-01-15 17:43:39.707402,2026-01-15 17:45:30.353204,110.64577032399984,3.9290810810810806,0.04975675675675676,116.73756756756754,320.08626651763916,99.99478486707368,325058953,0,141955,5,310.0,62.0,4,923.20703125,730.96875,0.3,20.8,22.12382263620002,2.80240901491195
rpi3,cross-rsdp-256-balanced,2026-01-15 17:45:31.389572,2026-01-15 17:47:22.183462,110.79386005300012,3.95178947368421,0.04963157894736843,116.64289473684214,320.15838527679443,99.9965160045888,325058953,0,267635,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.8,22.15224473980006,2.7988134262803195
rpi3,cross-rsdp-256-fast,2026-01-15 17:47:23.219839,2026-01-15 17:49:13.407006,110.18714606499998,3.940078947368422,0.049078947368421055,116.52160526315792,320.21827125549316,99.99351461104555,325058953,0,372950,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.8,22.03099457879989,2.814217024031303
rpi3,cross-rsdp-256-small,2026-01-15 17:49:14.443379,2026-01-15 17:51:06.177828,111.73442643399994,3.9320526315789484,0.04947368421052632,116.4087894736842,320.1506462097168,99.9960384331478,325058953,0,254090,5,310.0,62.0,4,923.20703125,730.96875,0.3,20.8,22.340462878800007,2.775233455831165
rpi3,MAYO-1,2026-01-15 17:51:07.214237,2026-01-15 17:52:56.625605,109.41134381899974,3.9702162162162167,0.050108108108108104,116.26213513513513,320.0087356567383,99.99877177360894,325058953,0,2270,5,310.0,62.0,4,923.20703125,730.96875,0.7,20.9,21.873161272600008,2.834523973343804
rpi3,MAYO-2,2026-01-15 17:52:57.661907,2026-01-15 17:54:47.034804,109.37287361000016,3.9261578947368427,0.049421052631578956,116.34173684210526,320.01197242736816,99.98822961345437,325058953,0,930,5,310.0,62.0,4,923.20703125,730.96875,0.5,20.9,21.863464023599953,2.83578118879404
rpi3,MAYO-3,2026-01-15 17:54:48.069832,2026-01-15 17:56:37.772333,109.70247701199968,3.901916666666667,0.04916666666666667,116.5748611111111,320.0122699737549,99.98862649929202,325058953,0,3405,5,310.0,62.0,4,923.20703125,730.96875,0.3,20.9,21.924741318799896,2.827855485201853
rpi3,MAYO-5,2026-01-15 17:56:38.809059,2026-01-15 17:58:29.111878,110.30279641800009,3.936105263157895,0.049421052631578956,116.84036842105262,320.01771545410156,99.99746478050338,325058953,0,4820,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.8,22.03353676139995,2.8138923256576933
rpi3,SNOVA_24_5_4,2026-01-15 17:58:30.148320,2026-01-15 18:00:19.790908,109.64256419699996,3.944405405405406,0.04962162162162163,116.982027027027,320.0076713562012,99.97942022136628,325058953,0,1240,5,310.0,62.0,4,923.20703125,730.96875,0.3,20.8,21.917388859600123,2.828804124303481
rpi3,SNOVA_56_25_2,2026-01-15 18:00:20.827364,2026-01-15 18:02:11.381046,110.55373335100012,3.939594594594594,0.04935135135135135,117.24132432432432,320.06421661376953,99.9875776687192,325058953,0,890,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.8,22.064849197200058,2.809899104493656
rpi3,SNOVA_60_10_4,2026-01-15 18:02:12.417414,2026-01-15 18:04:05.794515,113.37707885600004,3.94921052631579,0.04934210526315791,117.40876315789474,320.0217056274414,99.99375636056976,325058953,0,2880,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.9,22.627904139800012,2.7399797885367905
rpi3,OV-Is,2026-01-15 18:04:06.818751,2026-01-15 18:05:56.308279,109.4894982689998,3.9574594594594585,0.04964864864864865,116.85527027027028,321.12407875061035,99.99132494974434,325058953,0,480,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.9,21.840643311199983,2.83874422179708
rpi3,OV-III,2026-01-15 18:05:57.344932,2026-01-15 18:07:48.315075,110.97012006700017,3.8933513513513516,0.04897297297297298,116.94894594594594,323.33889389038086,99.98186893283714,325058954,0,1000,5,310.0,62.0,4,923.20703125,730.96875,0.5,20.9,21.8630831036,2.8358305965452333
rpi3,OV-V,2026-01-15 18:07:49.351486,2026-01-15 18:09:43.802820,114.45131124799993,3.914410256410257,0.04910256410256411,116.87107692307694,327.80261611938477,99.99885431806244,325058954,0,1300,5,310.0,62.0,4,923.20703125,730.96875,0.0,20.9,21.89081701039986,2.832237826963933
rpi4,Falcon-512,2026-01-15 17:15:51.237276,2026-01-15 17:15:57.462052,6.224773837000043,3.8335,0.045,115.788,320.0011692047119,100.08395747599523,325058991,0,3276,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,8.9,1.2394188561999726,50.023444205206346
rpi4,Falcon-1024,2026-01-15 17:15:58.474705,2026-01-15 17:16:10.567433,12.092707898000072,3.38225,0.043000000000000003,115.77600000000001,320.0123710632324,51.84942903513738,325058996,0,6358,5,310.0,62.0,4,7812.31640625,7118.9453125,0.2,9.4,1.2424801976000253,49.90019166483232
rpi4,ML-DSA-44,2026-01-15 17:16:11.580250,2026-01-15 17:16:17.745600,6.1653292150000425,4.025,0.0475,116.1035,320.01674365997314,99.9135615501752,325058997,0,12100,5,310.0,62.0,4,7812.31640625,7118.9453125,0.8,9.2,1.231527295399974,50.34399175039293
rpi4,ML-DSA-65,2026-01-15 17:16:18.758661,2026-01-15 17:16:24.925168,6.166490114999988,3.873,0.05,115.97049999999999,320.021297454834,99.89475187863836,325058997,0,16545,5,310.0,62.0,4,7812.31640625,7118.9453125,0.5,9.2,1.2317364417999896,50.33544344064118
rpi4,ML-DSA-87,2026-01-15 17:16:25.937794,2026-01-15 17:16:32.097404,6.159591703000046,3.7439999999999998,0.043,116.004,320.02650260925293,100.00662863741042,325058998,0,23135,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.2303292149999607,50.393016148935374
rpi4,SPHINCS+-SHA2-128f-simple,2026-01-15 17:16:33.110094,2026-01-15 17:16:41.185331,8.075219758000003,3.981666666666667,0.04833333333333334,115.92633333333333,320.05535984039307,99.81152515403778,325059000,0,85440,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.1,1.6119804965999946,38.462003808837025
rpi4,SPHINCS+-SHA2-192f-simple,2026-01-15 17:16:42.197956,2026-01-15 17:16:48.841743,6.643768490999946,3.727,0.0465,115.9295,320.1077241897583,99.94327780979948,325059000,0,178320,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.32607025719999,46.75468713921206
rpi4,SPHINCS+-SHA2-256f-simple,2026-01-15 17:16:49.854352,2026-01-15 17:16:57.347040,7.492669188000036,3.8425000000000002,0.0475,116.07849999999999,320.1491479873657,99.83091221990249,325059000,0,249280,5,310.0,62.0,4,7812.31640625,7118.9453125,0.2,9.2,1.4937844576000543,41.5053187121859
rpi4,SLH_DSA_PURE_SHA2_128F,2026-01-15 17:16:58.359465,2026-01-15 17:17:08.030889,9.671404852000023,3.673,0.04666666666666667,116.07033333333334,320.0532236099243,99.8820765734188,325059000,0,85440,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.931654143800006,32.09684311189984
rpi4,SLH_DSA_PURE_SHA2_192F,2026-01-15 17:17:09.043447,2026-01-15 17:17:16.321571,7.278105145999916,3.747666666666667,0.04700000000000001,115.97066666666666,320.10830783843994,99.8886365910175,325059000,0,178320,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.4535169011999869,42.65516276337369
rpi4,SLH_DSA_PURE_SHA2_256F,2026-01-15 17:17:17.334047,2026-01-15 17:17:25.094324,7.760256165999976,3.774666666666667,0.04733333333333334,115.96499999999999,320.14895725250244,99.99669900072251,325059000,0,249280,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.5488431009999886,40.0298777584189
rpi4,SLH_DSA_PURE_SHAKE_128F,2026-01-15 17:17:26.106869,2026-01-15 17:17:37.931027,11.824139998999954,3.8937500000000003,0.04875,116.124,320.05499744415283,99.88041414427474,325059000,0,85440,5,310.0,62.0,4,7812.31640625,7118.9453125,0.5,9.2,2.362417494799979,26.244302768867453
rpi4,SLH_DSA_PURE_SHAKE_192F,2026-01-15 17:17:38.943446,2026-01-15 17:17:51.138795,12.195331547000023,3.762,0.04725,116.03674999999998,320.10837268829346,99.95628206597353,325059000,0,178320,5,310.0,62.0,4,7812.31640625,7118.9453125,0.2,9.2,2.436252183400029,25.448925370883774
